Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_supply_ratio,demand_multiplier,location_multiplier,vehicle_multiplier,New_Price
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,4.666666666666667,1.4666666666666668,1.2,1.0,289.99
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,1.8181818181818181,1.1818181818181819,0.9,1.0,182.01
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.1176470588235294,1.111764705882353,1.0,1.25,616.97
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,2.5294117647058822,1.2529411764705882,1.2,1.25,694.66
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.7321428571428572,1.1732142857142858,1.0,1.25,772.12
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,1.5238095238095237,1.1523809523809523,0.9,1.0,281.54
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,3.6538461538461537,1.3653846153846154,1.0,1.25,705.88
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,2.9375,1.29375,1.2,1.0,360.41
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,2.0833333333333335,1.2083333333333333,0.9,1.0,241.92
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,1.608695652173913,1.1608695652173913,0.9,1.0,223.0
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.475,1.1475,1.0,1.25,360.64
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,2.0,1.2,1.2,1.25,235.01
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,4.416666666666667,1.4416666666666667,0.9,1.25,481.73
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.2153846153846153,1.1215384615384616,0.9,1.0,672.94
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,2.4583333333333335,1.2458333333333333,1.2,1.25,714.08
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.3333333333333333,1.1333333333333333,1.2,1.0,849.98
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.853658536585366,1.1853658536585365,1.0,1.0,102.45
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.5185185185185186,1.151851851851852,1.2,1.0,881.53
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,5.533333333333333,1.5533333333333332,1.2,1.25,688.72
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,2.4444444444444446,1.2444444444444445,0.9,1.0,395.74
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,1.2297297297297298,1.122972972972973,1.2,1.0,71.31
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,3.176470588235294,1.3176470588235294,1.0,1.25,438.23
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,1.5526315789473684,1.1552631578947368,0.9,1.25,397.85
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1.6363636363636365,1.1636363636363636,1.0,1.0,438.42
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,4.7,1.47,0.9,1.0,298.07
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,1.391304347826087,1.1391304347826088,0.9,1.0,204.32
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,3.2142857142857144,1.3214285714285714,0.9,1.0,467.66
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,1.565217391304348,1.1565217391304348,1.2,1.25,236.66
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,3.5,1.35,1.2,1.25,540.46
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1.826086956521739,1.182608695652174,0.9,1.25,438.43
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,3.466666666666667,1.3466666666666667,1.0,1.25,645.35
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,3.375,1.3375,1.2,1.0,489.84
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,2.9615384615384617,1.2961538461538462,0.9,1.25,379.63
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,3.857142857142857,1.3857142857142857,1.2,1.0,452.72
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,2.1142857142857143,1.2114285714285715,0.9,1.25,619.41
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1.3142857142857143,1.1314285714285715,1.2,1.0,55.13
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,2.2,1.22,0.9,1.25,260.93
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,9.428571428571429,1.9428571428571428,0.9,1.0,302.78
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1.925,1.1925,1.2,1.0,847.5
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,2.0588235294117645,1.2058823529411764,1.2,1.25,686.1
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,1.2307692307692308,1.123076923076923,0.9,1.25,387.38
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,3.210526315789474,1.3210526315789473,0.9,1.25,257.06
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,3.227272727272727,1.3227272727272728,1.0,1.25,823.71
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,11.875,2.1875,0.9,1.0,474.36
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1.6888888888888889,1.1688888888888889,1.0,1.25,540.43
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,2.2857142857142856,1.2285714285714286,1.0,1.0,842.52
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,1.5806451612903225,1.1580645161290322,0.9,1.0,591.77
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,2.111111111111111,1.211111111111111,1.2,1.25,892.97
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,2.5555555555555554,1.2555555555555555,1.0,1.0,144.84
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,1.3333333333333333,1.1333333333333333,1.0,1.0,412.13
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,1.2790697674418605,1.127906976744186,1.0,1.0,158.4
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,1.6571428571428573,1.1657142857142857,0.9,1.25,558.76
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,5.666666666666667,1.5666666666666667,1.2,1.25,1321.73
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,1.4583333333333333,1.1458333333333333,1.0,1.25,279.47
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,2.04,1.204,0.9,1.25,138.26
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,1.543859649122807,1.1543859649122807,0.9,1.0,229.77
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,2.7777777777777777,1.2777777777777777,1.0,1.0,566.61
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,1.7,1.17,0.9,1.25,992.76
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,2.5,1.25,1.2,1.25,396.61
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,3.25,1.325,1.0,1.0,518.93
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,1.8837209302325582,1.1883720930232557,1.0,1.0,195.02
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,1.4035087719298245,1.1403508771929824,1.0,1.25,258.92
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,3.2,1.32,0.9,1.25,925.22
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,2.3684210526315788,1.236842105263158,0.9,1.0,331.73
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,1.68,1.168,1.2,1.25,337.93
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,2.0,1.2,1.2,1.0,381.17
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,2.0303030303030303,1.2030303030303031,1.0,1.25,124.1
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,3.875,1.3875,1.0,1.25,602.79
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,1.9230769230769231,1.1923076923076923,1.2,1.0,400.34
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,1.5217391304347827,1.1521739130434783,1.0,1.25,457.8
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131716,2.5714285714285716,1.2571428571428571,0.9,1.0,225.6
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,1.4736842105263157,1.1473684210526316,1.0,1.0,609.38
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,2.1,1.21,1.2,1.25,501.31
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,1.625,1.1625,1.2,1.25,860.38
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,4.409090909090909,1.440909090909091,1.0,1.25,1402.42
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,1.625,1.1625,1.2,1.25,1130.2
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,1.5964912280701755,1.1596491228070176,1.2,1.0,45.23
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,1.3265306122448979,1.1326530612244898,0.9,1.25,657.8
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,3.0344827586206895,1.303448275862069,1.2,1.25,1133.44
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,5.857142857142857,1.5857142857142856,1.0,1.0,696.08
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,1.5853658536585367,1.1585365853658536,1.2,1.0,616.25
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,5.857142857142857,1.5857142857142856,1.2,1.0,84.32
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,2.2972972972972974,1.2297297297297298,0.9,1.0,504.71
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,2.5,1.25,0.9,1.0,308.12
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,2.7666666666666666,1.2766666666666666,1.2,1.25,191.62
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,2.84375,1.284375,1.2,1.0,251.55
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,1.5172413793103448,1.1517241379310346,0.9,1.25,521.98
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,7.384615384615385,1.7384615384615385,1.0,1.0,427.4
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,1.6382978723404256,1.1638297872340426,1.0,1.25,219.0
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,1.123456790123457,1.1123456790123456,0.9,1.0,165.88
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,2.1627906976744184,1.216279069767442,0.9,1.0,664.65
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,4.1,1.41,0.9,1.0,629.93
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,1.3555555555555556,1.1355555555555557,1.0,1.0,150.14
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,7.545454545454546,1.7545454545454546,1.2,1.0,125.47
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,2.5652173913043477,1.2565217391304349,0.9,1.25,489.5
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,1.3125,1.13125,1.0,1.25,122.65
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,4.764705882352941,1.4764705882352942,1.0,1.0,729.58
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,3.6,1.3599999999999999,0.9,1.25,238.85
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,4.3,1.43,0.9,1.0,505.66
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,2.176470588235294,1.2176470588235293,1.2,1.0,41.24
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,1.4782608695652173,1.1478260869565218,0.9,1.0,300.75
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,2.5714285714285716,1.2571428571428571,1.2,1.25,857.71
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,8.5,1.85,1.2,1.25,756.82
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,2.625,1.2625,1.2,1.0,292.56
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,3.2,1.32,1.2,1.0,1201.47
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,1.5666666666666667,1.1566666666666667,1.0,1.25,962.53
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,2.242424242424242,1.2242424242424241,1.0,1.25,261.78
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,6.5,1.65,0.9,1.25,1081.48
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,5.3076923076923075,1.5307692307692307,1.0,1.25,1163.63
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,2.4285714285714284,1.2428571428571429,0.9,1.0,248.58
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,2.5,1.25,0.9,1.25,514.06
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,2.6285714285714286,1.262857142857143,1.0,1.0,500.9
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,1.864864864864865,1.1864864864864866,1.0,1.0,439.72
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,3.7333333333333334,1.3733333333333333,1.0,1.0,250.84
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,1.5925925925925926,1.1592592592592592,0.9,1.0,763.49
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,1.7551020408163265,1.1755102040816325,1.2,1.0,274.29
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,1.7428571428571429,1.1742857142857144,1.2,1.25,125.57
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,1.3513513513513513,1.135135135135135,1.0,1.0,552.14
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,2.085714285714286,1.2085714285714286,1.2,1.25,215.38
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,9.5,1.95,1.2,1.0,489.08
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,2.0714285714285716,1.207142857142857,1.2,1.0,560.76
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,1.5588235294117647,1.1558823529411764,0.9,1.25,660.52
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,7.888888888888889,1.788888888888889,1.0,1.0,401.38
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,5.333333333333333,1.5333333333333332,0.9,1.0,53.86
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,2.935483870967742,1.293548387096774,1.0,1.0,466.87
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,1.236842105263158,1.1236842105263158,1.0,1.0,82.12
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,1.6428571428571428,1.1642857142857144,0.9,1.0,310.24
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,2.7142857142857144,1.2714285714285714,0.9,1.0,197.54
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,2.6666666666666665,1.2666666666666666,1.0,1.0,298.62
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,3.6666666666666665,1.3666666666666667,1.2,1.0,277.46
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549147445,3.0,1.3,1.2,1.0,326.13
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,2.186046511627907,1.2186046511627906,0.9,1.25,254.05
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,6.142857142857143,1.6142857142857143,1.0,1.25,279.24
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,5.105263157894737,1.5105263157894737,1.0,1.25,238.81
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,2.611111111111111,1.261111111111111,0.9,1.0,622.61
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,1.3448275862068966,1.1344827586206896,1.2,1.25,439.8
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,1.25,1.125,1.0,1.25,571.39
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,1.9444444444444444,1.1944444444444444,1.2,1.25,446.19
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,3.111111111111111,1.3111111111111111,1.0,1.25,1017.59
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,1.5454545454545454,1.1545454545454545,0.9,1.25,346.88
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,4.153846153846154,1.4153846153846155,1.0,1.25,1139.7
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,5.909090909090909,1.5909090909090908,1.2,1.0,821.65
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,2.259259259259259,1.2259259259259259,0.9,1.25,708.38
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,4.6,1.46,1.0,1.25,399.99
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048,1.4313725490196079,1.1431372549019607,1.2,1.0,241.72
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979,1.72,1.172,1.2,1.0,663.09
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552,9.375,1.9375,1.0,1.0,746.66
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073064574406,1.3,1.13,1.0,1.0,255.38
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536,4.714285714285714,1.4714285714285715,0.9,1.25,734.2
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707,1.3333333333333333,1.1333333333333333,1.0,1.25,441.78
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622,1.5,1.15,1.0,1.0,242.26
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513007148,1.962962962962963,1.1962962962962962,1.2,1.25,280.69
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038,2.3142857142857145,1.2314285714285715,1.2,1.25,922.46
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404605,2.142857142857143,1.2142857142857142,1.2,1.0,280.67
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166,2.0,1.2,1.2,1.0,295.22
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299,2.0434782608695654,1.2043478260869565,0.9,1.25,508.0
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442,1.736842105263158,1.1736842105263159,1.2,1.25,1005.18
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676,1.3448275862068966,1.1344827586206896,0.9,1.25,634.8
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704,2.0,1.2,0.9,1.0,312.37
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544,2.8181818181818183,1.2818181818181817,0.9,1.0,248.53
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232252967,1.4,1.14,1.0,1.25,973.41
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247148756359,5.444444444444445,1.5444444444444445,1.2,1.25,1608.75
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185255483,1.4782608695652173,1.1478260869565218,1.0,1.0,602.33
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.63536897966003,1.5806451612903225,1.1580645161290322,0.9,1.25,385.34
